name,lastEditDate
Assessed Russian-controlled Ukrainian Territory,2023-05-12 22:27:15.903
Claimed Russian Control over Ukrainian Territory,2023-05-14 17:28:45.635
DonbasBeforeFeb24_2022,2022-04-28 19:59:05.123
AssessedRussianAdvancesinUkraine,2023-05-14 17:15:43.922
Claimed Ukrainian Counteroffensives,2023-05-14 17:15:42.370
Reported Ukrainian Partisan Warfare,2023-04-27 18:17:08.965
